Date,Type,residence,Positive,Negative,Total_Tests,Positive_Rate,Year,Month,Weekday
2020-08-16,Faculty/Staff,Non-Residential,0,3,3,0.0,2020,8,Sunday
2020-08-16,Students,Students - Non-Residential,1,34,35,2.86,2020,8,Sunday
2020-08-16,Students,Students - Residential,0,3,3,0.0,2020,8,Sunday
2020-08-17,Faculty/Staff,Non-Residential,0,56,56,0.0,2020,8,Monday
2020-08-17,Students,Students - Non-Residential,5,97,102,4.9,2020,8,Monday
2020-08-17,Students,Students - Residential,0,17,17,0.0,2020,8,Monday
2020-08-18,Faculty/Staff,Non-Residential,4,63,67,5.97,2020,8,Tuesday
2020-08-18,Students,Students - Non-Residential,6,74,80,7.5,2020,8,Tuesday
2020-08-18,Students,Students - Residential,2,23,25,8.0,2020,8,Tuesday
2020-08-19,Faculty/Staff,Non-Residential,3,40,43,6.98,2020,8,Wednesday
2020-08-19,Students,Students - Non-Residential,6,79,85,7.06,2020,8,Wednesday
2020-08-19,Students,Students - Residential,6,59,65,9.23,2020,8,Wednesday
2020-08-20,Faculty/Staff,Non-Residential,0,27,27,0.0,2020,8,Thursday
2020-08-20,Students,Students - Non-Residential,11,165,176,6.25,2020,8,Thursday
2020-08-20,Students,Students - Residential,6,88,94,6.38,2020,8,Thursday
2020-08-21,Faculty/Staff,Non-Residential,0,30,30,0.0,2020,8,Friday
2020-08-21,Students,Students - Non-Residential,4,94,98,4.08,2020,8,Friday
2020-08-21,Students,Students - Residential,9,76,85,10.59,2020,8,Friday
2020-08-22,Faculty/Staff,Non-Residential,0,3,3,0.0,2020,8,Saturday
2020-08-22,Students,Students - Non-Residential,5,42,47,10.64,2020,8,Saturday
2020-08-22,Students,Students - Residential,3,46,49,6.12,2020,8,Saturday
2020-08-23,Students,Students - Non-Residential,4,12,16,25.0,2020,8,Sunday
2020-08-23,Students,Students - Residential,2,51,53,3.77,2020,8,Sunday
2020-08-24,Faculty/Staff,Non-Residential,6,25,31,19.35,2020,8,Monday
2020-08-24,Students,Students - Non-Residential,13,161,174,7.47,2020,8,Monday
2020-08-24,Students,Students - Residential,3,161,164,1.83,2020,8,Monday
2020-08-25,Faculty/Staff,Non-Residential,0,37,37,0.0,2020,8,Tuesday
2020-08-25,Students,Students - Non-Residential,21,84,105,20.0,2020,8,Tuesday
2020-08-25,Students,Students - Residential,7,134,141,4.96,2020,8,Tuesday
2020-08-26,Faculty/Staff,Non-Residential,1,37,38,2.63,2020,8,Wednesday
2020-08-26,Students,Students - Non-Residential,12,98,110,10.91,2020,8,Wednesday
2020-08-26,Students,Students - Residential,3,98,101,2.97,2020,8,Wednesday
2020-08-27,Faculty/Staff,Non-Residential,0,14,14,0.0,2020,8,Thursday
2020-08-27,Students,Students - Non-Residential,12,168,180,6.67,2020,8,Thursday
2020-08-27,Students,Students - Residential,3,74,77,3.9,2020,8,Thursday
2020-08-28,Faculty/Staff,Non-Residential,1,29,30,3.33,2020,8,Friday
2020-08-28,Students,Students - Non-Residential,9,45,54,16.67,2020,8,Friday
2020-08-28,Students,Students - Residential,2,53,55,3.64,2020,8,Friday
2020-08-29,Faculty/Staff,Non-Residential,0,1,1,0.0,2020,8,Saturday
2020-08-29,Students,Students - Non-Residential,3,108,111,2.7,2020,8,Saturday
2020-08-29,Students,Students - Residential,3,53,56,5.36,2020,8,Saturday
2020-08-30,Faculty/Staff,Non-Residential,0,2,2,0.0,2020,8,Sunday
2020-08-30,Students,Students - Non-Residential,3,35,38,7.89,2020,8,Sunday
2020-08-30,Students,Students - Residential,1,13,14,7.14,2020,8,Sunday
2020-08-31,Faculty/Staff,Non-Residential,2,69,71,2.82,2020,8,Monday
2020-08-31,Students,Students - Non-Residential,1,85,86,1.16,2020,8,Monday
2020-08-31,Students,Students - Residential,1,61,62,1.61,2020,8,Monday
2020-09-01,Faculty/Staff,Non-Residential,1,41,42,2.38,2020,9,Tuesday
2020-09-01,Students,Students - Non-Residential,6,199,205,2.93,2020,9,Tuesday
2020-09-01,Students,Students - Residential,4,191,195,2.05,2020,9,Tuesday
2020-09-02,Faculty/Staff,Non-Residential,0,25,25,0.0,2020,9,Wednesday
2020-09-02,Students,Students - Non-Residential,11,160,171,6.43,2020,9,Wednesday
2020-09-02,Students,Students - Residential,4,173,177,2.26,2020,9,Wednesday
2020-09-03,Faculty/Staff,Non-Residential,1,22,23,4.35,2020,9,Thursday
2020-09-03,Students,Students - Non-Residential,7,189,196,3.57,2020,9,Thursday
2020-09-03,Students,Students - Residential,2,182,184,1.09,2020,9,Thursday
2020-09-04,Faculty/Staff,Non-Residential,2,72,74,2.7,2020,9,Friday
2020-09-04,Students,Students - Non-Residential,5,163,168,2.98,2020,9,Friday
2020-09-04,Students,Students - Residential,0,85,85,0.0,2020,9,Friday
